repeat,offset,model,n_rows,n_positive,prevalence,roc_auc,average_precision,brier,prevalence_baseline_brier,brier_skill_score
0,6,xgboost,2045,26,0.0127139364303178,0.5224787594772736,0.0344974328294401,0.0125412731014955,0.012569900189673874,0.002277431622081716
0,7,logistic,2027,25,0.0123334977799704,0.5397002997002996,0.0183652026356794,0.0121807813652142,0.012204970492482013,0.00198190788602981
0,7,random_forest,2027,25,0.0123334977799704,0.54002997002997,0.0136081193576716,0.0121868022548746,0.012204970492482013,0.0014885933250394778
0,7,xgboost,2027,25,0.0123334977799704,0.4669530469530469,0.0315635753313965,0.01221033589526,0.012204970492482013,-0.0004396080089905663
0,8,logistic,2060,48,0.0233009708737864,0.4500186381709742,0.0204045584903714,0.0228028309166153,0.022785728769330143,-0.0007505639805638342
0,8,random_forest,2060,48,0.0233009708737864,0.4445203777335983,0.0212374088833321,0.0227917755306182,0.022785728769330143,-0.000265374934866891
0,8,xgboost,2060,48,0.0233009708737864,0.4695058813783963,0.0245863082418813,0.0227902469180298,0.022785728769330143,-0.00019828853162429105
0,9,logistic,2041,25,0.012248897599216,0.5336111111111113,0.0146397056146136,0.0121043877518992,0.01210100048456516,-0.00027991630430568293
0,9,random_forest,2041,25,0.012248897599216,0.4413293650793651,0.0110144876217405,0.0121146248792446,0.01210100048456516,-0.0011258899375152787
0,9,xgboost,2041,25,0.012248897599216,0.5260912698412699,0.0128763080927702,0.0121118214134466,0.01210100048456516,-0.0008942177049942046
0,10,logistic,2039,27,0.013241785188818,0.6225057065017304,0.0213428901797712,0.0131321758951907,0.013085466858794824,-0.003569535340230079
0,10,random_forest,2039,27,0.013241785188818,0.6138815256608495,0.0294377766272662,0.0131160780502089,0.013085466858794824,-0.002339327419067283
0,10,xgboost,2039,27,0.013241785188818,0.6499705470878433,0.0411379028135141,0.0130086846432819,0.013085466858794824,0.005867747505035936
0,11,logistic,2033,14,0.0068863748155435,0.4412368216231515,0.0062655123069694,0.0068539032118388,0.006840528330404153,-0.0019552409972778406
0,11,random_forest,2033,14,0.0068863748155435,0.5924078398075426,0.0130090363491175,0.0068307613889984,0.006840528330404153,0.0014278051246922052
0,11,xgboost,2033,14,0.0068863748155435,0.4460836340479728,0.0065640083115516,0.0068462603340207,0.006840528330404153,-0.0008379475004978154
0,12,logistic,2038,21,0.0103042198233562,0.4718464480487287,0.0104701222697698,0.0102187627734095,0.010211828323851391,-0.000679060530415887
0,12,random_forest,2038,21,0.0103042198233562,0.5046863564463961,0.0131128053819479,0.0102121768726461,0.010211828323851391,-3.413186979406291e-05
0,12,xgboost,2038,21,0.0103042198233562,0.42323582878863,0.0210514347286307,0.0102200968197253,0.010211828323851391,-0.0008096978926481757
0,13,logistic,2033,15,0.0073782587309394,0.3947142385199868,0.0062002013835948,0.0073410578559488,0.007332481069521205,-0.00116969772526887
0,13,random_forest,2033,15,0.0073782587309394,0.4123719854641559,0.0069096748336131,0.0073367423037759,0.007332481069521205,-0.0005811449377493005
0,13,xgboost,2033,15,0.0073782587309394,0.396828543111992,0.0096062047685101,0.007332622609916,0.007332481069521205,-1.9303206302723197e-05
0,14,logistic,2036,29,0.0142436149312377,0.6215658986650173,0.0242640575981901,0.0140499952475554,0.01406334885304279,0.0009495324070341038
