model,repeat_a,fold_a,repeat_b,fold_b,spearman_rank_correlation,top10_overlap,top10_jaccard
random_forest,0,0,2,2,0.9249765160212923,9,0.8181818181818182
random_forest,0,0,2,3,0.9100720175347043,7,0.5384615384615384
random_forest,0,0,2,4,0.9341196117315521,8,0.6666666666666666
random_forest,0,1,0,2,0.8264481786869848,8,0.6666666666666666
random_forest,0,1,0,3,0.8917023275232232,8,0.6666666666666666
random_forest,0,1,0,4,0.8374699926938735,7,0.5384615384615384
random_forest,0,1,1,0,0.8513307587934454,7,0.5384615384615384
random_forest,0,1,1,1,0.9065233274188499,7,0.5384615384615384
random_forest,0,1,1,2,0.8229829871620917,8,0.6666666666666666
random_forest,0,1,1,3,0.9065233274188499,7,0.5384615384615384
random_forest,0,1,1,4,0.9142051977872876,7,0.5384615384615384
random_forest,0,1,2,0,0.8218140068886339,8,0.6666666666666666
random_forest,0,1,2,1,0.9252687610896567,8,0.6666666666666666
random_forest,0,1,2,2,0.8916605782277426,8,0.6666666666666666
random_forest,0,1,2,3,0.8465295898131722,6,0.42857142857142855
random_forest,0,1,2,4,0.9028076401210732,9,0.8181818181818182
random_forest,0,2,0,3,0.9036426260306858,8,0.6666666666666666
random_forest,0,2,0,4,0.9261872455902308,7,0.5384615384615384
random_forest,0,2,1,0,0.8801377726750863,8,0.6666666666666666
random_forest,0,2,1,1,0.896920989458303,9,0.8181818181818182
random_forest,0,2,1,2,0.9272309779772469,8,0.6666666666666666
random_forest,0,2,1,3,0.8610583446404344,8,0.6666666666666666
random_forest,0,2,1,4,0.900970671119925,9,0.8181818181818182
random_forest,0,2,2,0,0.911950735831333,8,0.6666666666666666
random_forest,0,2,2,1,0.8243189646174722,9,0.8181818181818182
random_forest,0,2,2,2,0.909404028807014,8,0.6666666666666666
random_forest,0,2,2,3,0.9026406429391506,8,0.6666666666666666
random_forest,0,2,2,4,0.885147688132763,8,0.6666666666666666
random_forest,0,3,0,4,0.9064815781233692,9,0.8181818181818182
random_forest,0,3,1,0,0.8910760880910137,8,0.6666666666666666
random_forest,0,3,1,1,0.903517378144244,9,0.8181818181818182
random_forest,0,3,1,2,0.9195491076088091,8,0.6666666666666666
random_forest,0,3,1,3,0.9259784991128276,7,0.5384615384615384
random_forest,0,3,1,4,0.9239745329297568,8,0.6666666666666666
random_forest,0,3,2,0,0.8955015134119612,8,0.6666666666666666
random_forest,0,3,2,1,0.8999269387329091,7,0.5384615384615384
random_forest,0,3,2,2,0.9094457781024946,10,1.0
random_forest,0,3,2,3,0.902139651393383,8,0.6666666666666666
random_forest,0,3,2,4,0.8919110740006265,8,0.6666666666666666
random_forest,0,4,1,0,0.8643147896879241,8,0.6666666666666666
random_forest,0,4,1,1,0.9032251330758796,8,0.6666666666666666
random_forest,0,4,1,2,0.8927043106147584,8,0.6666666666666666
random_forest,0,4,1,3,0.8767978290366352,7,0.5384615384615384
random_forest,0,4,1,4,0.8864836655881434,7,0.5384615384615384
random_forest,0,4,2,0,0.9432627074418121,8,0.6666666666666666
random_forest,0,4,2,1,0.8426886546289533,7,0.5384615384615384
random_forest,0,4,2,2,0.9123264794906589,9,0.8181818181818182
random_forest,0,4,2,3,0.9071078175555789,8,0.6666666666666666
random_forest,0,4,2,4,0.8678634798037785,7,0.5384615384615384
random_forest,1,0,1,1,0.8102494520404969,8,0.6666666666666666
random_forest,1,0,1,2,0.8568834150923704,8,0.6666666666666666
random_forest,1,0,1,3,0.8144243815885609,6,0.42857142857142855
random_forest,1,0,1,4,0.836718505375222,7,0.5384615384615384
random_forest,1,0,2,0,0.8307483561214906,7,0.5384615384615384
random_forest,1,0,2,1,0.8755036008767354,8,0.6666666666666666
random_forest,1,0,2,2,0.9005949274605992,8,0.6666666666666666
random_forest,1,0,2,3,0.8203945308422922,7,0.5384615384615384
random_forest,1,0,2,4,0.8701596910552135,6,0.42857142857142855
random_forest,1,1,1,2,0.8991754514142576,7,0.5384615384615384
random_forest,1,1,1,3,0.9089865358522076,7,0.5384615384615384
random_forest,1,1,1,4,0.9238910343387957,9,0.8181818181818182
random_forest,1,1,2,0,0.9005114288696379,7,0.5384615384615384
random_forest,1,1,2,1,0.8611835925268762,8,0.6666666666666666
random_forest,1,1,2,2,0.907441811919424,9,0.8181818181818182
random_forest,1,1,2,3,0.911950735831333,9,0.8181818181818182
random_forest,1,1,2,4,0.9051456006679889,8,0.6666666666666666
random_forest,1,2,1,3,0.8329610687819645,7,0.5384615384615384
random_forest,1,2,1,4,0.8659847615071498,7,0.5384615384615384
random_forest,1,2,2,0,0.9088195386702851,8,0.6666666666666666
random_forest,1,2,2,1,0.783321156455485,8,0.6666666666666666
random_forest,1,2,2,2,0.8846049472915145,8,0.6666666666666666
random_forest,1,2,2,3,0.8755870994676966,6,0.42857142857142855
random_forest,1,2,2,4,0.870326688237136,7,0.5384615384615384
random_forest,1,3,1,4,0.9357060849598163,8,0.6666666666666666
random_forest,1,3,2,0,0.8647322826427306,8,0.6666666666666666
random_forest,1,3,2,1,0.9052708485544309,7,0.5384615384615384
random_forest,1,3,2,2,0.8841457050412277,7,0.5384615384615384
random_forest,1,3,2,3,0.9160004174929549,7,0.5384615384615384
random_forest,1,3,2,4,0.8785095501513412,7,0.5384615384615384
random_forest,1,4,2,0,0.8880701388164076,7,0.5384615384615384
random_forest,1,4,2,1,0.8980064711407998,8,0.6666666666666666
random_forest,1,4,2,2,0.9192151132449641,8,0.6666666666666666
random_forest,1,4,2,3,0.912201231604217,8,0.6666666666666666
random_forest,1,4,2,4,0.9150401836969003,8,0.6666666666666666
random_forest,2,0,2,1,0.7876630831854714,7,0.5384615384615384
random_forest,2,0,2,2,0.892746059910239,8,0.6666666666666666
random_forest,2,0,2,3,0.899133702118777,7,0.5384615384615384
random_forest,2,0,2,4,0.8424381588560695,7,0.5384615384615384
random_forest,2,1,2,2,0.8754618515812547,7,0.5384615384615384
random_forest,2,1,2,3,0.8431061475837597,7,0.5384615384615384
random_forest,2,1,2,4,0.8819747416762344,8,0.6666666666666666
random_forest,2,2,2,3,0.9068155724872144,8,0.6666666666666666
random_forest,2,2,2,4,0.9306544202066592,8,0.6666666666666666
random_forest,2,3,2,4,0.8749191107400065,7,0.5384615384615384
xgboost,0,0,0,1,0.3696273875378354,5,0.3333333333333333
