model,feature,mean_rank,median_rank,min_rank,max_rank,top10_frequency
random_forest,"nr. tough sessions (effort in Z5, T1 or T2).1",65.66666666666667,66.0,65,66,0.0
xgboost,max exertion,1.0,1.0,1,1,1.0
xgboost,total km Z3-Z4-Z5-T1-T2,4.266666666666667,3.0,2,8,1.0
xgboost,nr. strength trainings,8.466666666666667,4.0,4,33,0.8666666666666667
xgboost,nr. rest days,10.866666666666667,9.0,2,35,0.6666666666666666
xgboost,avg exertion,11.533333333333333,9.0,2,32,0.6666666666666666
xgboost,max exertion.1,12.133333333333333,7.0,2,57,0.6666666666666666
xgboost,max exertion.2,12.866666666666667,9.0,2,34,0.6666666666666666
xgboost,total kms,14.6,13.0,5,38,0.26666666666666666
xgboost,max training success,15.4,11.0,2,46,0.4666666666666667
xgboost,total kms.2,17.133333333333333,18.0,9,28,0.2
xgboost,nr. strength trainings.1,17.733333333333334,15.0,8,29,0.13333333333333333
xgboost,nr. sessions,18.466666666666665,11.0,3,54,0.4666666666666667
xgboost,avg training success,19.933333333333334,13.0,3,50,0.4666666666666667
xgboost,max training success.2,20.533333333333335,15.0,2,57,0.3333333333333333
xgboost,nr. days with interval session,22.4,12.0,2,65,0.4666666666666667
xgboost,avg recovery,22.6,25.0,3,45,0.26666666666666666
xgboost,max recovery,23.133333333333333,24.0,9,36,0.06666666666666667
xgboost,min exertion.1,25.533333333333335,20.0,4,65,0.06666666666666667
xgboost,total km Z3-Z4-Z5-T1-T2.1,25.6,21.0,6,46,0.13333333333333333
xgboost,avg training success.2,26.733333333333334,22.0,5,54,0.13333333333333333
xgboost,max km one day,29.333333333333332,26.0,19,52,0.0
xgboost,total km Z5-T1-T2.2,29.733333333333334,29.0,8,66,0.06666666666666667
xgboost,total kms.1,30.866666666666667,35.0,10,45,0.06666666666666667
xgboost,max recovery.2,31.133333333333333,29.0,14,57,0.0
xgboost,avg training success.1,32.13333333333333,31.0,10,64,0.06666666666666667
xgboost,min exertion.2,32.333333333333336,28.0,9,59,0.06666666666666667
xgboost,max km Z5-T1-T2 one day,32.46666666666667,32.0,8,59,0.06666666666666667
xgboost,max km one day.1,32.733333333333334,31.0,13,61,0.0
xgboost,total hours alternative training,34.13333333333333,28.0,22,53,0.0
xgboost,max km one day.2,34.46666666666667,28.0,7,62,0.06666666666666667
xgboost,avg exertion.1,34.86666666666667,37.0,6,52,0.13333333333333333
xgboost,min recovery,34.86666666666667,32.0,7,64,0.06666666666666667
xgboost,max recovery.1,36.733333333333334,36.0,16,57,0.0
xgboost,avg recovery.1,36.93333333333333,36.0,14,64,0.0
xgboost,min recovery.1,37.266666666666666,39.0,12,58,0.0
xgboost,total km Z3-4,37.8,39.0,21,52,0.0
xgboost,max km Z3-4 one day.2,38.0,37.0,19,55,0.0
xgboost,min training success.2,38.2,41.0,16,59,0.0
xgboost,avg recovery.2,38.46666666666667,41.0,8,56,0.06666666666666667
xgboost,total km Z3-Z4-Z5-T1-T2.2,38.93333333333333,38.0,12,63,0.0
xgboost,total km Z5-T1-T2,38.93333333333333,46.0,15,61,0.0
xgboost,max training success.1,40.06666666666667,41.0,15,65,0.0
xgboost,nr. sessions.1,40.53333333333333,49.0,13,60,0.0
xgboost,min training success.1,41.8,46.0,18,66,0.0
xgboost,total km Z3-4.1,42.06666666666667,44.0,6,65,0.13333333333333333
xgboost,max km Z5-T1-T2 one day.1,42.4,44.0,19,63,0.0
xgboost,total hours alternative training.1,43.266666666666666,46.0,15,57,0.0
xgboost,total km Z5-T1-T2.1,43.53333333333333,40.0,16,65,0.0
xgboost,min training success,44.266666666666666,47.0,17,60,0.0
xgboost,min recovery.2,44.333333333333336,46.0,17,62,0.0
xgboost,max km Z3-4 one day.1,44.6,49.0,6,61,0.06666666666666667
xgboost,max km Z3-4 one day,44.93333333333333,46.0,27,60,0.0
xgboost,max km Z5-T1-T2 one day.2,44.93333333333333,50.0,16,63,0.0
xgboost,"nr. tough sessions (effort in Z5, T1 or T2).2",45.06666666666667,53.0,12,66,0.0
xgboost,min exertion,45.13333333333333,48.0,20,62,0.0
xgboost,total km Z3-4.2,46.666666666666664,49.0,24,66,0.0
xgboost,nr. days with interval session.1,46.733333333333334,57.0,10,65,0.06666666666666667
xgboost,nr. rest days.1,46.733333333333334,48.0,8,65,0.06666666666666667
xgboost,avg exertion.2,46.93333333333333,49.0,33,61,0.0
xgboost,total hours alternative training.2,48.666666666666664,51.0,24,60,0.0
xgboost,nr. days with interval session.2,49.2,60.0,11,66,0.0
xgboost,"nr. tough sessions (effort in Z5, T1 or T2).1",49.86666666666667,64.0,11,66,0.0
xgboost,nr. strength trainings.2,50.2,54.0,32,63,0.0
xgboost,"nr. tough sessions (effort in Z5, T1 or T2)",51.53333333333333,55.0,27,66,0.0
xgboost,nr. rest days.2,52.4,60.0,29,66,0.0
xgboost,nr. sessions.2,53.86666666666667,58.0,14,64,0.0
