control,iteration,roc_auc,average_precision
within_athlete_permutation,17,0.5432668368465982,0.015168073731318711
within_athlete_circular_shift,17,0.5547395866048692,0.018039965233226447
within_athlete_permutation,18,0.574025222189843,0.017039529323915635
within_athlete_circular_shift,18,0.5297833964385782,0.015168143550212884
within_athlete_permutation,19,0.5440394633462702,0.016372132925760185
within_athlete_circular_shift,19,0.5277819527580785,0.014244897392493345
within_athlete_permutation,20,0.5507669320965598,0.01594253655390681
within_athlete_circular_shift,20,0.5433267670927344,0.015810964241835205
within_athlete_permutation,21,0.5472976092774492,0.016538067154931505
within_athlete_circular_shift,21,0.503692320999579,0.013128251342101025
within_athlete_permutation,22,0.5634017313868703,0.016242390503930514
within_athlete_circular_shift,22,0.5264289708164414,0.015319235596395097
within_athlete_permutation,23,0.5331414878970765,0.015030893752778312
within_athlete_circular_shift,23,0.5313898771429953,0.014206084886495328
within_athlete_permutation,24,0.5711057542303855,0.01722565671188704
within_athlete_circular_shift,24,0.55984432552215,0.01617689212496081
within_athlete_permutation,25,0.5490137355593335,0.016419418683623177
within_athlete_circular_shift,25,0.510223111450693,0.013461297076110615
within_athlete_permutation,26,0.54139656008625,0.015381846742876636
within_athlete_circular_shift,26,0.5513693443404533,0.017196173429584585
within_athlete_permutation,27,0.5384959979570171,0.015309273805705629
within_athlete_circular_shift,27,0.5562210581704388,0.017379311846367013
within_athlete_permutation,28,0.5628558100932007,0.016312486764504162
within_athlete_circular_shift,28,0.5384019012922073,0.015362050966456021
within_athlete_permutation,29,0.5422100256505573,0.01552886243539136
within_athlete_circular_shift,29,0.5175277022928982,0.013938661322251206
within_athlete_permutation,30,0.5170565805366742,0.014396847167751943
within_athlete_circular_shift,30,0.537608185936163,0.015226877787398374
within_athlete_permutation,31,0.5524766122729319,0.015411895047305326
within_athlete_circular_shift,31,0.49896199166125205,0.01322472215179962
within_athlete_permutation,32,0.5298181806948408,0.01476925898567893
within_athlete_circular_shift,32,0.5657776876192555,0.017640729107059955
within_athlete_permutation,33,0.5266750761227397,0.014813662682644878
within_athlete_circular_shift,33,0.5090696292665546,0.013448856199108846
within_athlete_permutation,34,0.5405601521528036,0.01526340732286116
within_athlete_circular_shift,34,0.5349038078360342,0.015042396570500886
within_athlete_permutation,35,0.544542321359984,0.015478301651487076
within_athlete_circular_shift,35,0.508617598691832,0.0151534967436349
within_athlete_permutation,36,0.5549618845694032,0.016563531618224686
within_athlete_circular_shift,36,0.5123414088138651,0.014115370548644517
within_athlete_permutation,37,0.5179921308085744,0.013771341403234438
within_athlete_circular_shift,37,0.49805206105471056,0.013866951526378337
within_athlete_permutation,38,0.5619489686746045,0.015729671082027392
within_athlete_circular_shift,38,0.4817633290736864,0.012618286396593311
within_athlete_permutation,39,0.5608717276489529,0.015999373341569135
within_athlete_circular_shift,39,0.5488716535084421,0.015523452870349602
within_athlete_permutation,40,0.5403080332273056,0.01645675894782121
within_athlete_circular_shift,40,0.5430650922791926,0.015479871204780664
within_athlete_permutation,41,0.5452355557294655,0.01581910005714175
within_athlete_circular_shift,41,0.4958971053279224,0.013510913087168865
within_athlete_permutation,42,0.5707125829833112,0.017241629443651228
within_athlete_circular_shift,42,0.5509242953304865,0.016387458125263838
within_athlete_permutation,43,0.5535078655873731,0.017587901242047448
within_athlete_circular_shift,43,0.5264254697367703,0.014437575669113632
within_athlete_permutation,44,0.5574094481783574,0.01690961431401222
within_athlete_circular_shift,44,0.5025159170408875,0.013829129142480523
within_athlete_permutation,45,0.522732572088775,0.015049872473011535
within_athlete_circular_shift,45,0.5250230607880106,0.01497501363807676
within_athlete_permutation,46,0.5713724129338121,0.017042160566721247
within_athlete_circular_shift,46,0.5400784241846346,0.01516414566489176
within_athlete_permutation,47,0.5344934812985711,0.015442903118722182
within_athlete_circular_shift,47,0.5443757935351534,0.015194248486222292
within_athlete_permutation,48,0.5378472067047735,0.014864418559367622
within_athlete_circular_shift,48,0.5306267035584356,0.014920226927730353
within_athlete_permutation,49,0.5477920235107796,0.01524924871243968
within_athlete_circular_shift,49,0.5374214754167572,0.015159817301470403
within_athlete_permutation,50,0.5345826352626685,0.014756061774189108
within_athlete_circular_shift,50,0.5419666800188234,0.014683319994305569
within_athlete_permutation,51,0.516465804234041,0.01400453065981324
